seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_BADI01001211.1||full	0.900	0.820	0.900	dsDNAphage	984	0	66.700	0.000
NZ_BADI01001182.1||full	0.960	0.847	0.960	dsDNAphage	1248	2	66.700	0.000
NZ_BADI01001181.1||full	0.733	0.773	0.773	ssDNA	2205	0	40.000	0.000
NZ_BADI01001140.1||full	0.613	0.200	0.613	dsDNAphage	1761	0	66.700	0.000
NZ_BADI01001092.1||full	0.880	0.720	0.880	dsDNAphage	2799	1	50.000	0.000
NZ_BADI01001045.1||full	0.787	0.847	0.847	ssDNA	2142	0	66.700	0.000
NZ_BADI01001042.1||full	0.847	0.000	0.847	dsDNAphage	4606	2	40.000	20.000
NZ_BADI01000958.1||full	0.973	0.973	0.973	dsDNAphage	1434	3	100.000	0.000
NZ_BADI01000954.1||full	0.687	0.887	0.887	ssDNA	947	0	33.300	0.000
NZ_BADI01000929.1||full	0.547	0.080	0.547	dsDNAphage	1764	0	50.000	25.000
NZ_BADI01000910.1||full	0.533	0.173	0.533	dsDNAphage	1194	0	33.300	0.000
NZ_BADI01000908.1||full	0.607	0.000	0.607	dsDNAphage	8066	0	31.200	12.500
NZ_BADI01000873.1||full	1.000	0.087	1.000	dsDNAphage	6756	7	87.500	12.500
NZ_BADI01000814.1||full	0.813	0.040	0.813	dsDNAphage	7395	0	33.300	8.300
NZ_BADI01000752.1||full	0.933	0.780	0.933	dsDNAphage	1163	2	50.000	0.000
NZ_BADI01000654.1||full	0.813	0.627	0.813	dsDNAphage	2573	0	50.000	0.000
NZ_BADI01000625.1||full	0.673	0.000	0.673	dsDNAphage	8733	2	27.300	36.400
NZ_BADI01000622.1||full	1.000	0.867	1.000	dsDNAphage	4257	0	40.000	0.000
NZ_BADI01000621.1||full	0.947	0.540	0.947	dsDNAphage	3301	0	20.000	0.000
NZ_BADI01000580.1||full	0.500	0.053	0.500	dsDNAphage	1875	0	66.700	33.300
NZ_BADI01000579.1||full	0.560	0.020	0.560	dsDNAphage	4100	0	42.900	28.600
NZ_BADI01000405.1||full	0.993	0.080	0.993	dsDNAphage	1809	1	50.000	25.000
NZ_BADI01000381.1||full	0.880	0.047	0.880	dsDNAphage	4707	1	50.000	25.000
NZ_BADI01000380.1||full	0.993	0.927	0.993	dsDNAphage	2436	3	100.000	0.000
NZ_BADI01000374.1||full	0.833	0.960	0.960	ssDNA	1357	0	66.700	0.000
NZ_BADI01000293.1||full	0.747	0.773	0.773	ssDNA	7354	0	40.000	0.000
NZ_BADI01000272.1||full	1.000	0.013	1.000	dsDNAphage	8707	8	78.600	14.300
NZ_BADI01000271.1||full	0.987	0.860	0.987	dsDNAphage	3188	3	100.000	0.000
NZ_BADI01000270.1||full	1.000	0.800	1.000	dsDNAphage	7363	1	50.000	0.000
NZ_BADI01000211.1||full	0.540	0.287	0.540	dsDNAphage	9712	0	33.300	0.000
NZ_BADI01000209.1||full	0.507	0.640	0.640	ssDNA	2231	0	50.000	0.000
NZ_BADI01000186.1||full	0.427	0.973	0.973	ssDNA	2036	0	25.000	0.000
NZ_BADI01000158.1||full	0.440	0.973	0.973	ssDNA	763	0	50.000	0.000
NZ_BADI01000137.1||full	0.707	0.907	0.907	ssDNA	1558	0	33.300	0.000
NZ_BADI01000107.1||full	0.980	0.740	0.980	dsDNAphage	2218	1	50.000	0.000
NZ_BADI01000106.1||full	0.920	0.007	0.920	dsDNAphage	5004	2	30.000	10.000
NZ_BADI01000099.1||full	0.733	0.107	0.733	dsDNAphage	4896	0	57.100	0.000
NZ_BADI01000095.1||full	1.000	0.940	1.000	dsDNAphage	1732	3	100.000	0.000
NZ_BADI01000068.1||full	0.993	0.200	0.993	dsDNAphage	3380	4	87.500	12.500
NZ_BADI01000067.1||full	0.873	0.027	0.873	dsDNAphage	1869	1	66.700	33.300
NZ_BADI01000066.1||full	0.920	0.047	0.920	dsDNAphage	3851	3	75.000	25.000
NZ_BADI01000035.1||full	0.553	0.480	0.553	dsDNAphage	1924	0	33.300	0.000
NZ_BADI01000024.1||full	0.707	0.967	0.967	ssDNA	1030	0	50.000	0.000
NZ_BADI01000822.1||lt2gene	nan	nan	nan	dsDNAphage	1053	2	100.000	0.000
NZ_BADI01000684.1||lt2gene	nan	nan	nan	dsDNAphage	1249	1	100.000	0.000
NZ_BADI01000094.1||lt2gene	nan	nan	nan	dsDNAphage	1370	1	50.000	0.000
