seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AGAF01000268.1||full	0.680	0.420	0.680	dsDNAphage	6886	0	75.000	0.000
NZ_AGAF01000256.1||full	0.647	0.020	0.647	dsDNAphage	13771	0	37.500	29.200
NZ_AGAF01000255.1||full	0.993	0.047	0.993	dsDNAphage	40102	6	46.900	1.600
NZ_AGAF01000135.1||full	1.000	0.113	1.000	dsDNAphage	26658	9	63.900	5.600
NZ_AGAF01000092.1||full	0.380	0.927	0.927	ssDNA	1865	0	50.000	0.000
NZ_AGAF01000090.1||full	0.667	0.033	0.667	dsDNAphage	10522	0	5.900	0.000
NZ_AGAF01000082.1||full	0.693	0.740	0.740	ssDNA	3236	0	100.000	0.000
NZ_AGAF01000072.1||full	0.753	0.013	0.753	dsDNAphage	13703	0	40.000	5.000
NZ_AGAF01000057.1||full	0.627	0.893	0.893	ssDNA	1850	0	50.000	0.000
NZ_AGAF01000047.1||full	0.913	0.880	0.913	dsDNAphage	2414	0	50.000	0.000
NZ_AGAF01000276.1||0_partial	0.873	0.000	0.873	dsDNAphage	23962	5	22.600	29.000
