seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AJQT01000026.1||full	0.993	0.000	0.993	dsDNAphage	40147	3	40.000	16.400
NZ_AJQT01000109.1||full	1.000	0.000	1.000	dsDNAphage	52498	13	41.900	2.300
NZ_AJQT01000125.1||full	0.733	0.067	0.733	dsDNAphage	4051	0	50.000	0.000
NZ_AJQT01000140.1||full	0.867	0.040	0.867	dsDNAphage	9878	0	40.000	6.700
NZ_AJQT01000184.1||full	0.960	0.973	0.973	ssDNA	2170	0	60.000	0.000
NZ_AJQT01000185.1||full	0.747	0.100	0.747	dsDNAphage	2137	0	50.000	0.000
NZ_AJQT01000190.1||full	0.353	1.000	1.000	ssDNA	1600	0	50.000	0.000
NZ_AJQT01000006.1||0_partial	0.880	0.000	0.880	dsDNAphage	44370	8	28.800	18.200
NZ_AJQT01000008.1||0_partial	0.907	0.000	0.907	dsDNAphage	55824	5	32.500	19.500
NZ_AJQT01000208.1||lt2gene	nan	nan	nan	dsDNAphage	1078	1	100.000	0.000
