seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_HE997459.1||full	0.893	0.013	0.893	dsDNAphage	15523	4	42.900	28.600
NZ_HE997460.1||full	0.760	0.007	0.760	dsDNAphage	14546	1	36.400	27.300
NZ_HE997463.1||full	0.967	0.873	0.967	dsDNAphage	2287	1	33.300	0.000
NZ_HE997464.1||full	0.840	0.953	0.953	ssDNA	2164	0	75.000	0.000
NZ_HE997466.1||full	0.980	1.000	1.000	ssDNA	1375	0	33.300	0.000
NZ_HE997468.1||full	0.427	0.867	0.867	ssDNA	1377	0	25.000	0.000
NZ_HE997469.1||full	0.693	0.853	0.853	ssDNA	1144	0	33.300	0.000
NZ_HE997471.1||full	0.900	1.000	1.000	ssDNA	1201	0	100.000	0.000
NZ_HE997475.1||full	0.447	0.853	0.853	ssDNA	1091	0	33.300	0.000
NZ_HE997478.1||full	0.967	1.000	1.000	ssDNA	863	0	100.000	0.000
NZ_HE997483.1||full	0.840	0.307	0.840	dsDNAphage	817	2	66.700	33.300
NZ_HE997484.1||full	0.833	0.300	0.833	dsDNAphage	817	2	66.700	33.300
NZ_HE997490.1||full	0.593	0.807	0.807	ssDNA	660	0	33.300	0.000
NZ_HE997491.1||full	0.833	0.980	0.980	ssDNA	718	0	50.000	0.000
NZ_HE997502.1||full	0.947	0.953	0.953	ssDNA	574	0	50.000	0.000
NZ_HE997514.1||full	0.860	0.960	0.960	ssDNA	326	0	50.000	0.000
NZ_HE997451.1||0_partial	0.907	0.000	0.907	dsDNAphage	95313	4	33.300	21.000
NZ_HE997451.1||1_partial	0.960	0.000	0.960	dsDNAphage	11184	1	35.300	5.900
NZ_HE997452.1||0_partial	0.907	0.007	0.907	dsDNAphage	79532	6	21.200	11.800
NZ_HE997452.1||1_partial	0.893	0.000	0.893	dsDNAphage	70806	11	29.300	31.700
NZ_HE997452.1||2_partial	0.873	0.007	0.873	dsDNAphage	44179	5	32.500	22.500
NZ_HE997452.1||3_partial	0.907	0.000	0.907	dsDNAphage	29659	4	33.300	30.800
NZ_HE997479.1||lt2gene	nan	nan	nan	dsDNAphage	986	1	100.000	0.000
NZ_HE997486.1||lt2gene	nan	nan	nan	dsDNAphage	802	1	100.000	0.000
NZ_HE997496.1||lt2gene	nan	nan	nan	dsDNAphage	700	1	50.000	0.000
NZ_HE997504.1||lt2gene	nan	nan	nan	dsDNAphage	531	1	100.000	0.000
NZ_HE997505.1||lt2gene	nan	nan	nan	dsDNAphage	518	1	100.000	0.000
NZ_HE997519.1||lt2gene	nan	nan	nan	dsDNAphage	292	1	50.000	0.000
NZ_HE997520.1||lt2gene	nan	nan	nan	dsDNAphage	292	1	50.000	0.000
