seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_ADGX01000323.1||full	0.540	0.113	0.540	dsDNAphage	2315	0	33.300	0.000
NZ_ADGX01000370.1||full	0.967	0.567	0.967	dsDNAphage	1203	1	66.700	0.000
NZ_ADGX01000368.1||full	0.753	0.333	0.753	dsDNAphage	1236	0	50.000	0.000
NZ_ADGX01000365.1||full	0.900	0.940	0.940	ssDNA	1202	0	100.000	0.000
NZ_ADGX01000342.1||full	0.733	0.787	0.787	ssDNA	2079	0	100.000	0.000
NZ_ADGX01000325.1||full	0.900	0.440	0.900	dsDNAphage	2702	0	100.000	0.000
NZ_ADGX01000312.1||full	0.907	0.153	0.907	dsDNAphage	3346	1	71.400	0.000
NZ_ADGX01000298.1||full	0.887	0.120	0.887	dsDNAphage	4153	1	66.700	0.000
NZ_ADGX01000295.1||full	0.607	0.067	0.607	dsDNAphage	4307	0	12.500	0.000
NZ_ADGX01000291.1||full	0.973	0.220	0.973	dsDNAphage	4576	2	66.700	0.000
NZ_ADGX01000290.1||full	0.687	0.427	0.687	dsDNAphage	4639	0	57.100	0.000
NZ_ADGX01000288.1||full	0.820	0.033	0.820	dsDNAphage	4809	0	33.300	11.100
NZ_ADGX01000286.1||full	0.893	0.307	0.893	dsDNAphage	4993	1	28.600	0.000
NZ_ADGX01000273.1||full	0.967	0.053	0.967	dsDNAphage	6003	1	33.300	0.000
NZ_ADGX01000259.1||full	0.920	0.340	0.920	dsDNAphage	7657	0	26.700	0.000
NZ_ADGX01000253.1||full	0.947	0.187	0.947	dsDNAphage	8014	2	38.500	0.000
NZ_ADGX01000245.1||full	0.627	0.027	0.627	dsDNAphage	8801	0	20.000	6.700
NZ_ADGX01000211.1||full	0.587	0.000	0.587	dsDNAphage	12851	1	30.000	10.000
NZ_ADGX01000176.1||full	0.987	0.267	0.987	dsDNAphage	17109	1	20.000	0.000
NZ_ADGX01000170.1||full	0.953	0.033	0.953	dsDNAphage	17639	1	21.400	3.600
NZ_ADGX01000166.1||full	1.000	0.107	1.000	dsDNAphage	18248	4	55.600	0.000
NZ_ADGX01000130.1||full	0.920	0.000	0.920	dsDNAphage	23811	1	18.800	3.100
NZ_ADGX01000004.1||0_partial	0.940	0.000	0.940	dsDNAphage	60494	8	38.100	15.500
NZ_ADGX01000371.1||lt2gene	nan	nan	nan	dsDNAphage	1071	1	50.000	0.000
NZ_ADGX01000355.1||lt2gene	nan	nan	nan	dsDNAphage	1532	1	100.000	0.000
