seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_AFBX01000992.1	1	4	3	3246	0.78	0.78	1	4	3	3246	NA	NA	0	1	4	3	3246	0.78	0.0	25.0	0.0	50.0	0.0	25.0	1	dsDNAphage	linear	NZ_AFBX01000992.1||full	0.78	dsDNAphage
NZ_AFBX01000942.1	1	3	2	1172	0.72	0.72	1	3	2	1172	NA	NA	0	1	3	2	1172	0.72	0.0	0.0	0.0	66.7	0.0	33.3	0	dsDNAphage	linear	NZ_AFBX01000942.1||full	0.72	dsDNAphage
NZ_AFBX01000932.1	1	27	1	15934	0.893	0.927	1	27	1	15934	NA	NA	0	1	27	1	15934	0.893	0.0	11.1	0.0	18.5	0.0	70.4	1	dsDNAphage	linear	NZ_AFBX01000932.1||full	0.893	dsDNAphage
NZ_AFBX01000929.1	1	3	124	3863	0.62	0.62	1	3	124	3863	NA	NA	0	1	3	124	3863	0.62	0.0	0.0	0.0	66.7	0.0	33.3	0	dsDNAphage	linear	NZ_AFBX01000929.1||full	0.62	dsDNAphage
NZ_AFBX01000928.1	1	5	1	3458	0.833	0.833	1	5	1	3458	NA	NA	0	1	5	1	3458	0.833	0.0	0.0	0.0	20.0	0.0	80.0	0	dsDNAphage	linear	NZ_AFBX01000928.1||full	0.833	dsDNAphage
NZ_AFBX01000863.1	1	12	3	5111	0.893	0.893	1	12	3	5111	NA	NA	0	1	12	3	5111	0.893	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	NZ_AFBX01000863.1||full	0.893	dsDNAphage
NZ_AFBX01000758.1	1	2	1	1757	0.747	0.747	1	2	1	1757	NA	NA	0	1	2	1	1757	0.747	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	NZ_AFBX01000758.1||full	0.747	dsDNAphage
NZ_AFBX01000636.1	1	2	78	753	0.607	0.607	1	2	78	753	NA	NA	0	1	2	78	753	0.607	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	NZ_AFBX01000636.1||full	0.607	dsDNAphage
NZ_AFBX01000476.1	1	8	3	3599	0.913	0.913	1	8	3	3599	NA	NA	0	1	8	3	3599	0.913	0.0	12.5	0.0	50.0	0.0	37.5	0	dsDNAphage	linear	NZ_AFBX01000476.1||full	0.913	dsDNAphage
NZ_AFBX01000369.1	1	13	1	8549	0.66	0.66	1	13	1	8549	NA	NA	0	1	13	1	8549	0.66	0.0	7.7	0.0	38.5	0.0	53.8	0	dsDNAphage	linear	NZ_AFBX01000369.1||full	0.66	dsDNAphage
NZ_AFBX01000363.1	1	4	1	2438	0.573	0.573	1	4	1	2438	NA	NA	0	1	4	1	2438	0.573	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	NZ_AFBX01000363.1||full	0.573	dsDNAphage
NZ_AFBX01000107.1	1	19	293	19084	0.927	0.927	1	19	293	19084	NA	NA	0	1	19	293	19084	0.927	0.0	15.8	0.0	42.1	10.5	31.6	2	dsDNAphage	linear	NZ_AFBX01000107.1||full	0.927	dsDNAphage
NZ_AFBX01000014.1	1	7	114	9217	0.627	0.627	1	7	114	9217	NA	NA	0	1	7	114	9217	0.627	0.0	0.0	0.0	14.3	57.1	28.6	1	dsDNAphage	linear	NZ_AFBX01000014.1||full	0.627	dsDNAphage
NZ_AFBX01000066.1	1	15	1	13730	0.887	0.887	1	15	1	13730	0.887	0.953	1	1	43	1	47286	0.227	0.0	29.6	0.0	22.2	22.2	25.9	1	dsDNAphage	linear	NZ_AFBX01000066.1||0_partial	0.887	dsDNAphage
