seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AFBX01000992.1||full	0.780	0.080	0.780	dsDNAphage	3244	1	50.000	25.000
NZ_AFBX01000942.1||full	0.720	0.607	0.720	dsDNAphage	1171	0	66.700	0.000
NZ_AFBX01000932.1||full	0.893	0.007	0.893	dsDNAphage	15934	1	18.500	11.100
NZ_AFBX01000929.1||full	0.620	0.513	0.620	dsDNAphage	3740	0	66.700	0.000
NZ_AFBX01000928.1||full	0.833	0.453	0.833	dsDNAphage	3458	0	20.000	0.000
NZ_AFBX01000863.1||full	0.893	0.440	0.893	dsDNAphage	5109	0	25.000	0.000
NZ_AFBX01000758.1||full	0.747	0.307	0.747	dsDNAphage	1757	0	50.000	0.000
NZ_AFBX01000636.1||full	0.607	0.273	0.607	dsDNAphage	676	0	50.000	0.000
NZ_AFBX01000476.1||full	0.913	0.120	0.913	dsDNAphage	3597	0	50.000	12.500
NZ_AFBX01000369.1||full	0.660	0.007	0.660	dsDNAphage	8549	0	38.500	7.700
NZ_AFBX01000363.1||full	0.573	0.300	0.573	dsDNAphage	2438	0	50.000	0.000
NZ_AFBX01000107.1||full	0.927	0.000	0.927	dsDNAphage	18792	2	42.100	15.800
NZ_AFBX01000014.1||full	0.627	0.000	0.627	dsDNAphage	9104	1	14.300	0.000
NZ_AFBX01000066.1||0_partial	0.887	0.000	0.887	dsDNAphage	13730	1	22.200	29.600
