seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_CAEE01001074.1||full	0.987	0.580	0.987	dsDNAphage	2797	1	28.600	0.000
NZ_CAEE01001044.1||full	1.000	0.920	1.000	dsDNAphage	4160	4	100.000	0.000
NZ_CAEE01001026.1||full	0.993	0.727	0.993	dsDNAphage	5266	1	44.400	0.000
NZ_CAEE01001020.1||full	0.987	0.007	0.987	dsDNAphage	12747	3	47.600	4.800
NZ_CAEE01000897.1||full	0.907	0.940	0.940	ssDNA	2045	0	50.000	0.000
NZ_CAEE01000886.1||full	0.867	0.660	0.867	dsDNAphage	5136	0	75.000	0.000
NZ_CAEE01000872.1||full	0.993	0.447	0.993	dsDNAphage	4383	3	85.700	0.000
NZ_CAEE01000827.1||full	0.987	0.860	0.987	dsDNAphage	2091	1	50.000	0.000
NZ_CAEE01000817.1||full	0.693	0.427	0.693	dsDNAphage	2279	0	100.000	0.000
NZ_CAEE01000814.1||full	0.573	0.740	0.740	ssDNA	2632	0	33.300	0.000
NZ_CAEE01000794.1||full	0.667	0.000	0.667	dsDNAphage	11901	0	26.300	5.300
NZ_CAEE01000711.1||full	0.880	0.247	0.880	dsDNAphage	4394	0	20.000	0.000
NZ_CAEE01000668.1||full	0.787	0.027	0.787	dsDNAphage	7777	0	35.300	5.900
NZ_CAEE01000666.1||full	0.993	0.293	0.993	dsDNAphage	6820	2	71.400	0.000
NZ_CAEE01000643.1||full	0.887	0.940	0.940	ssDNA	3804	0	80.000	0.000
NZ_CAEE01000641.1||full	1.000	0.673	1.000	dsDNAphage	4561	4	100.000	0.000
NZ_CAEE01000640.1||full	0.813	0.233	0.813	dsDNAphage	2794	0	33.300	0.000
NZ_CAEE01000621.1||full	0.833	0.640	0.833	dsDNAphage	2270	0	33.300	0.000
NZ_CAEE01000612.1||full	0.947	0.960	0.960	ssDNA	5498	0	36.400	0.000
NZ_CAEE01000560.1||full	0.913	0.587	0.913	dsDNAphage	1053	0	33.300	0.000
NZ_CAEE01000502.1||full	0.753	0.473	0.753	dsDNAphage	758	0	33.300	0.000
NZ_CAEE01000497.1||full	0.993	0.013	0.993	dsDNAphage	6940	4	44.400	22.200
NZ_CAEE01000495.1||full	1.000	0.107	1.000	dsDNAphage	4753	2	77.800	11.100
NZ_CAEE01000454.1||full	0.853	0.127	0.853	dsDNAphage	1772	0	50.000	25.000
NZ_CAEE01000424.1||full	0.773	0.087	0.773	dsDNAphage	3301	0	28.600	0.000
NZ_CAEE01000412.1||full	0.673	0.980	0.980	ssDNA	983	0	50.000	0.000
NZ_CAEE01000411.1||full	0.840	0.973	0.973	ssDNA	1137	0	50.000	0.000
NZ_CAEE01000349.1||full	0.887	0.787	0.887	dsDNAphage	6642	0	66.700	0.000
NZ_CAEE01000345.1||full	0.780	0.433	0.780	dsDNAphage	3006	0	14.300	0.000
NZ_CAEE01000327.1||full	0.980	1.000	1.000	ssDNA	1267	0	33.300	0.000
NZ_CAEE01000326.1||full	0.600	0.740	0.740	ssDNA	2597	0	25.000	0.000
NZ_CAEE01000321.1||full	0.840	0.020	0.840	dsDNAphage	4619	3	50.000	50.000
NZ_CAEE01000311.1||full	0.793	0.393	0.793	dsDNAphage	2004	0	100.000	0.000
NZ_CAEE01000277.1||full	0.760	0.860	0.860	ssDNA	2351	0	66.700	0.000
NZ_CAEE01000239.1||full	0.867	0.127	0.867	dsDNAphage	7155	0	18.800	6.200
NZ_CAEE01000230.1||full	0.440	0.547	0.547	ssDNA	2087	0	25.000	0.000
NZ_CAEE01000171.1||full	0.840	0.953	0.953	ssDNA	1394	0	40.000	0.000
NZ_CAEE01000057.1||full	0.993	0.093	0.993	dsDNAphage	19988	16	75.000	14.300
NZ_CAEE01000042.1||full	1.000	0.427	1.000	dsDNAphage	14731	8	60.000	0.000
NZ_CAEE01000033.1||full	0.933	0.987	0.987	ssDNA	1042	0	100.000	0.000
NZ_CAEE01000006.1||full	0.887	0.767	0.887	dsDNAphage	787	0	66.700	0.000
NZ_CAEE01001115.1||lt2gene	nan	nan	nan	dsDNAphage	1376	1	50.000	0.000
NZ_CAEE01000898.1||lt2gene	nan	nan	nan	dsDNAphage	714	1	100.000	0.000
NZ_CAEE01000513.1||lt2gene	nan	nan	nan	dsDNAphage	871	1	100.000	0.000
NZ_CAEE01000164.1||lt2gene	nan	nan	nan	dsDNAphage	274	1	100.000	0.000
