seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_BADL01000425.1||full	0.773	0.000	0.773	dsDNAphage	11481	3	37.500	37.500
NZ_BADL01000420.1||full	0.787	0.333	0.787	dsDNAphage	1440	0	100.000	0.000
NZ_BADL01000417.1||full	0.953	0.400	0.953	dsDNAphage	1588	0	25.000	0.000
NZ_BADL01000413.1||full	0.607	0.507	0.607	dsDNAphage	1489	0	50.000	0.000
NZ_BADL01000388.1||full	0.940	0.833	0.940	dsDNAphage	1653	0	66.700	0.000
NZ_BADL01000349.1||full	0.593	0.367	0.593	dsDNAphage	1232	0	50.000	0.000
NZ_BADL01000348.1||full	0.727	0.740	0.740	ssDNA	2288	0	50.000	0.000
NZ_BADL01000207.1||full	0.460	0.520	0.520	ssDNA	1173	0	50.000	0.000
NZ_BADL01000038.1||full	0.707	0.267	0.707	dsDNAphage	1951	0	33.300	0.000
NZ_BADL01000022.1||full	0.780	0.113	0.780	dsDNAphage	1164	0	33.300	0.000
NZ_BADL01000019.1||full	0.753	0.073	0.753	dsDNAphage	2109	0	16.700	0.000
NZ_BADL01000010.1||full	0.593	0.207	0.593	dsDNAphage	2559	0	20.000	0.000
NZ_BADL01000006.1||full	0.973	0.240	0.973	dsDNAphage	9594	0	21.100	0.000
NZ_BADL01000459.1||0_partial	0.833	0.000	0.833	dsDNAphage	11640	1	15.000	30.000
NZ_BADL01000067.1||lt2gene	nan	nan	nan	dsDNAphage	1767	1	100.000	0.000
