seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_BADL01000425.1	1	8	1	11481	0.773	0.773	1	8	1	11481	NA	NA	0	1	8	1	11481	0.773	0.0	37.5	0.0	37.5	0.0	25.0	3	dsDNAphage	linear	NZ_BADL01000425.1||full	0.773	dsDNAphage
NZ_BADL01000420.1	1	2	33	1472	0.787	0.787	1	2	33	1472	NA	NA	0	1	2	33	1472	0.787	0.0	0.0	0.0	100.0	0.0	0.0	0	dsDNAphage	linear	NZ_BADL01000420.1||full	0.787	dsDNAphage
NZ_BADL01000417.1	1	4	160	1747	0.953	0.953	1	4	160	1747	NA	NA	0	1	4	160	1747	0.953	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	NZ_BADL01000417.1||full	0.953	dsDNAphage
NZ_BADL01000413.1	1	2	9	1497	0.607	0.607	1	2	9	1497	NA	NA	0	1	2	9	1497	0.607	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	NZ_BADL01000413.1||full	0.607	dsDNAphage
NZ_BADL01000388.1	1	3	1	1653	0.94	0.94	1	3	1	1653	NA	NA	0	1	3	1	1653	0.94	0.0	0.0	0.0	66.7	0.0	33.3	0	dsDNAphage	linear	NZ_BADL01000388.1||full	0.94	dsDNAphage
NZ_BADL01000349.1	1	2	55	1286	0.593	0.593	1	2	55	1286	NA	NA	0	1	2	55	1286	0.593	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	NZ_BADL01000349.1||full	0.593	dsDNAphage
NZ_BADL01000348.1	1	4	2	2289	0.74	0.74	1	4	2	2289	NA	NA	0	1	4	2	2289	0.74	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_BADL01000348.1||full	0.74	ssDNA
NZ_BADL01000207.1	1	2	97	1269	0.52	0.52	1	2	97	1269	NA	NA	0	1	2	97	1269	0.52	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_BADL01000207.1||full	0.52	ssDNA
NZ_BADL01000038.1	1	3	2	1952	0.707	0.707	1	3	2	1952	NA	NA	0	1	3	2	1952	0.707	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	NZ_BADL01000038.1||full	0.707	dsDNAphage
NZ_BADL01000022.1	1	3	1	1164	0.78	0.78	1	3	1	1164	NA	NA	0	1	3	1	1164	0.78	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	NZ_BADL01000022.1||full	0.78	dsDNAphage
NZ_BADL01000019.1	1	6	1	2109	0.753	0.753	1	6	1	2109	NA	NA	0	1	6	1	2109	0.753	0.0	0.0	0.0	16.7	16.7	66.7	0	dsDNAphage	linear	NZ_BADL01000019.1||full	0.753	dsDNAphage
NZ_BADL01000010.1	1	5	2	2560	0.593	0.593	1	5	2	2560	NA	NA	0	1	5	2	2560	0.593	0.0	0.0	0.0	20.0	0.0	80.0	0	dsDNAphage	linear	NZ_BADL01000010.1||full	0.593	dsDNAphage
NZ_BADL01000006.1	1	19	1	9594	0.973	0.973	1	19	1	9594	NA	NA	0	1	19	1	9594	0.973	0.0	0.0	0.0	21.1	0.0	78.9	0	dsDNAphage	linear	NZ_BADL01000006.1||full	0.973	dsDNAphage
NZ_BADL01000459.1	1	14	1	11640	0.833	0.833	1	14	1	11640	0.833	0.92	1	1	20	1	17704	0.453	0.0	30.0	0.0	15.0	5.0	50.0	1	dsDNAphage	linear	NZ_BADL01000459.1||0_partial	0.833	dsDNAphage
