seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AQXL01000006.1||full	0.153	0.860	0.860	ssDNA	1154	0	50.000	0.000
NZ_AQXL01000010.1||full	0.747	0.953	0.953	ssDNA	1277	0	50.000	0.000
NZ_AQXL01000018.1||full	0.900	0.967	0.967	ssDNA	682	0	50.000	0.000
NZ_AQXL01000026.1||full	0.887	0.993	0.993	ssDNA	1566	0	50.000	0.000
NZ_AQXL01000049.1||full	0.607	0.733	0.733	ssDNA	3478	0	75.000	0.000
NZ_AQXL01000050.1||full	0.753	0.580	0.753	dsDNAphage	4244	0	22.200	0.000
NZ_AQXL01000053.1||full	0.520	0.200	0.520	dsDNAphage	4775	0	25.000	0.000
NZ_AQXL01000056.1||full	0.960	0.313	0.960	dsDNAphage	5256	1	33.300	0.000
NZ_AQXL01000078.1||full	0.787	0.000	0.787	dsDNAphage	11339	1	27.300	9.100
NZ_AQXL01000096.1||full	0.987	0.053	0.987	dsDNAphage	22117	9	71.900	3.100
NZ_AQXL01000105.1||0_partial	0.907	0.027	0.907	dsDNAphage	6835	1	28.600	28.600
