seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_ABHJ01000525.1||full	0.987	0.940	0.987	dsDNAphage	1048	0	66.700	0.000
NZ_ABHJ01000507.1||full	0.967	0.813	0.967	dsDNAphage	946	1	50.000	0.000
NZ_ABHJ01000499.1||full	0.573	0.707	0.707	ssDNA	1104	0	33.300	0.000
NZ_ABHJ01000478.1||full	0.687	0.827	0.827	ssDNA	1054	0	33.300	0.000
NZ_ABHJ01000456.1||full	0.240	0.893	0.893	ssDNA	878	0	50.000	0.000
NZ_ABHJ01000450.1||full	0.227	0.753	0.753	ssDNA	1170	0	33.300	0.000
NZ_ABHJ01000408.1||full	0.640	0.980	0.980	ssDNA	1227	0	50.000	0.000
NZ_ABHJ01000403.1||full	0.613	0.967	0.967	ssDNA	1219	0	50.000	0.000
NZ_ABHJ01000390.1||full	0.660	0.673	0.673	ssDNA	1354	0	33.300	0.000
NZ_ABHJ01000380.1||full	0.567	0.160	0.567	dsDNAphage	891	0	50.000	0.000
NZ_ABHJ01000362.1||full	0.520	0.207	0.520	dsDNAphage	1428	0	33.300	0.000
NZ_ABHJ01000346.1||full	0.560	0.967	0.967	ssDNA	1452	0	33.300	0.000
NZ_ABHJ01000307.1||full	0.540	0.913	0.913	ssDNA	1583	0	33.300	0.000
NZ_ABHJ01000276.1||full	0.267	0.920	0.920	ssDNA	1578	0	50.000	0.000
NZ_ABHJ01000260.1||full	0.767	0.940	0.940	ssDNA	1695	0	66.700	0.000
NZ_ABHJ01000249.1||full	0.660	0.820	0.820	ssDNA	1525	0	33.300	0.000
NZ_ABHJ01000235.1||full	0.933	0.120	0.933	dsDNAphage	1804	0	50.000	0.000
NZ_ABHJ01000230.1||full	0.280	0.653	0.653	ssDNA	1746	0	50.000	0.000
NZ_ABHJ01000216.1||full	0.920	0.960	0.960	ssDNA	1829	0	40.000	0.000
NZ_ABHJ01000187.1||full	0.720	0.833	0.833	ssDNA	2004	0	33.300	0.000
NZ_ABHJ01000148.1||full	0.487	0.713	0.713	ssDNA	2002	0	50.000	0.000
NZ_ABHJ01000077.1||full	0.773	0.740	0.773	dsDNAphage	3257	0	66.700	0.000
NZ_ABHJ01000022.1||full	0.973	0.080	0.973	dsDNAphage	7817	1	15.400	0.000
