seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_KB905950.1||full	0.947	0.000	0.947	dsDNAphage	54676	11	47.700	21.500
NZ_KB905957.1||full	0.947	0.013	0.947	dsDNAphage	37724	10	47.400	15.800
NZ_KB905965.1||full	0.920	0.040	0.920	dsDNAphage	30083	7	71.400	19.000
NZ_KB905977.1||full	1.000	0.060	1.000	dsDNAphage	12863	7	81.200	6.200
NZ_KB905983.1||full	0.993	0.267	0.993	dsDNAphage	9828	6	81.800	0.000
NZ_KB905987.1||full	0.893	0.067	0.893	dsDNAphage	7068	4	66.700	8.300
NZ_KB905988.1||full	0.913	0.073	0.913	dsDNAphage	7180	0	53.800	15.400
NZ_KB905994.1||full	0.787	0.027	0.787	dsDNAphage	5430	1	50.000	30.000
NZ_KB905996.1||full	0.767	0.187	0.767	dsDNAphage	4884	0	57.100	0.000
NZ_KB906000.1||full	0.973	0.240	0.973	dsDNAphage	2379	2	50.000	0.000
NZ_KB906004.1||full	0.973	0.540	0.973	dsDNAphage	1873	2	75.000	0.000
NZ_KB906009.1||full	0.633	0.160	0.633	dsDNAphage	1457	1	66.700	0.000
NZ_KB906010.1||full	0.680	0.213	0.680	dsDNAphage	1457	1	66.700	0.000
NZ_KB906013.1||full	0.780	0.227	0.780	dsDNAphage	1162	0	100.000	0.000
NZ_KB905934.1||0_partial	0.913	0.000	0.913	dsDNAphage	63310	4	34.600	33.300
NZ_KB905949.1||0_partial	0.827	0.000	0.827	dsDNAphage	29750	2	22.900	37.100
