seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_KB906294.1||full	0.960	0.013	0.960	dsDNAphage	19222	4	52.600	5.300
NZ_KB906295.1||full	0.780	0.000	0.780	dsDNAphage	16944	1	31.200	12.500
NZ_KB906296.1||full	0.987	0.087	0.987	dsDNAphage	12731	3	66.700	0.000
NZ_KB906298.1||full	0.973	0.140	0.973	dsDNAphage	10061	3	77.800	0.000
NZ_KB906299.1||full	0.820	0.000	0.820	dsDNAphage	9776	2	44.400	11.100
NZ_KB906301.1||full	0.967	0.107	0.967	dsDNAphage	7080	2	50.000	0.000
NZ_KB906305.1||full	0.667	0.373	0.667	dsDNAphage	4975	0	22.200	0.000
NZ_KB906308.1||full	0.720	0.373	0.720	dsDNAphage	4202	0	30.000	0.000
NZ_KB906309.1||full	0.833	0.787	0.833	dsDNAphage	2762	0	75.000	0.000
NZ_KB906314.1||full	0.767	0.333	0.767	dsDNAphage	2402	0	66.700	0.000
NZ_KB906316.1||full	0.440	0.960	0.960	ssDNA	2322	0	33.300	0.000
NZ_KB906318.1||full	0.633	0.220	0.633	dsDNAphage	1929	0	50.000	0.000
NZ_KB906319.1||full	0.653	0.667	0.667	ssDNA	1484	0	50.000	0.000
NZ_KB906323.1||full	0.660	0.980	0.980	ssDNA	1232	0	100.000	0.000
NZ_KB906254.1||0_partial	0.947	0.000	0.947	dsDNAphage	192875	22	39.500	12.600
