seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_AFCE01000245.1	1	2	50	1990	0.747	0.747	1	2	50	1990	NA	NA	0	1	2	50	1990	0.747	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AFCE01000245.1||full	0.747	ssDNA
NZ_AFCE01000227.1	1	3	3	1684	0.733	0.733	1	3	3	1684	NA	NA	0	1	3	3	1684	0.733	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NZ_AFCE01000227.1||full	0.733	ssDNA
NZ_AFCE01000213.1	1	5	2	1796	0.58	0.58	1	5	2	1796	NA	NA	0	1	5	2	1796	0.58	0.0	0.0	0.0	20.0	20.0	60.0	0	dsDNAphage	linear	NZ_AFCE01000213.1||full	0.58	dsDNAphage
NZ_AFCE01000204.1	1	2	3	747	0.98	0.98	1	2	3	747	NA	NA	0	1	2	3	747	0.98	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AFCE01000204.1||full	0.98	ssDNA
NZ_AFCE01000169.1	1	2	50	930	0.793	0.793	1	2	50	930	NA	NA	0	1	2	50	930	0.793	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AFCE01000169.1||full	0.793	ssDNA
NZ_AFCE01000156.1	1	72	3	62061	0.907	0.947	1	73	3	62340	NA	NA	0	1	73	3	62340	0.887	0.0	19.2	0.0	35.6	19.2	26.0	5	dsDNAphage	linear	NZ_AFCE01000156.1||full	0.907	dsDNAphage
NZ_AFCE01000085.1	1	19	48	13672	0.987	0.987	1	19	48	13672	NA	NA	0	1	19	48	13672	0.987	0.0	0.0	0.0	57.9	15.8	26.3	7	dsDNAphage	linear	NZ_AFCE01000085.1||full	0.987	dsDNAphage
NZ_AFCE01000034.1	1	5	3	5044	0.627	0.627	1	5	3	5044	NA	NA	0	1	5	3	5044	0.627	0.0	0.0	0.0	40.0	0.0	60.0	0	dsDNAphage	linear	NZ_AFCE01000034.1||full	0.627	dsDNAphage
NZ_AFCE01000013.1	1	3	1	999	0.68	0.68	1	3	1	999	NA	NA	0	1	3	1	999	0.68	0.0	0.0	0.0	33.3	33.3	33.3	0	dsDNAphage	linear	NZ_AFCE01000013.1||full	0.68	dsDNAphage
NZ_AFCE01000007.1	1	5	46	2799	0.54	0.54	1	5	46	2799	NA	NA	0	1	5	46	2799	0.54	0.0	0.0	0.0	20.0	40.0	40.0	0	dsDNAphage	linear	NZ_AFCE01000007.1||full	0.54	dsDNAphage
