seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AFCE01000245.1||full	0.333	0.747	0.747	ssDNA	1941	0	50.000	0.000
NZ_AFCE01000227.1||full	0.320	0.733	0.733	ssDNA	1682	0	33.300	0.000
NZ_AFCE01000213.1||full	0.580	0.127	0.580	dsDNAphage	1795	0	20.000	0.000
NZ_AFCE01000204.1||full	0.347	0.980	0.980	ssDNA	745	0	50.000	0.000
NZ_AFCE01000169.1||full	0.427	0.793	0.793	ssDNA	881	0	50.000	0.000
NZ_AFCE01000156.1||full	0.907	0.000	0.907	dsDNAphage	62059	5	35.600	19.200
NZ_AFCE01000085.1||full	0.987	0.080	0.987	dsDNAphage	13625	7	57.900	0.000
NZ_AFCE01000034.1||full	0.627	0.333	0.627	dsDNAphage	5042	0	40.000	0.000
NZ_AFCE01000013.1||full	0.680	0.140	0.680	dsDNAphage	999	0	33.300	0.000
NZ_AFCE01000007.1||full	0.540	0.120	0.540	dsDNAphage	2754	0	20.000	0.000
