seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AHZV01000292.1||full	0.540	0.973	0.973	ssDNA	1175	0	33.300	0.000
NZ_AHZV01000288.1||full	0.240	0.807	0.807	ssDNA	2453	0	33.300	0.000
NZ_AHZV01000277.1||full	0.793	0.987	0.987	ssDNA	796	0	50.000	0.000
NZ_AHZV01000266.1||full	0.273	0.947	0.947	ssDNA	1347	0	50.000	0.000
NZ_AHZV01000228.1||full	0.500	0.153	0.500	dsDNAphage	2075	0	66.700	33.300
NZ_AHZV01000199.1||full	0.920	0.993	0.993	ssDNA	3382	0	80.000	0.000
NZ_AHZV01000192.1||full	0.713	0.993	0.993	ssDNA	2060	0	100.000	0.000
NZ_AHZV01000174.1||full	0.547	0.213	0.547	dsDNAphage	5295	0	66.700	0.000
NZ_AHZV01000081.1||full	0.973	0.760	0.973	dsDNAphage	4730	1	80.000	0.000
NZ_AHZV01000018.1||full	0.553	0.660	0.660	ssDNA	1977	0	20.000	0.000
NZ_AHZV01000237.1||lt2gene	nan	nan	nan	dsDNAphage	553	1	100.000	0.000
