seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_BABS01000289.1	1	2	34	1172	1.0	1.0	1	2	34	1172	NA	NA	0	1	2	34	1172	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_BABS01000289.1||full	1.0	ssDNA
NZ_BABS01000267.1	1	2	39	1647	1.0	1.0	1	2	39	1647	NA	NA	0	1	2	39	1647	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_BABS01000267.1||full	1.0	ssDNA
NZ_BABS01000247.1	1	3	1	2028	0.873	0.873	1	3	1	2028	NA	NA	0	1	3	1	2028	0.873	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NZ_BABS01000247.1||full	0.873	ssDNA
NZ_BABS01000237.1	1	2	100	1638	0.853	0.853	1	2	100	1638	NA	NA	0	1	2	100	1638	0.853	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_BABS01000237.1||full	0.853	ssDNA
NZ_BABS01000233.1	1	2	368	2421	0.987	0.987	1	2	368	2421	NA	NA	0	1	2	368	2421	0.987	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_BABS01000233.1||full	0.987	ssDNA
NZ_BABS01000221.1	1	4	1	2709	0.96	0.96	1	4	1	2709	NA	NA	0	1	4	1	2709	0.96	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_BABS01000221.1||full	0.96	ssDNA
NZ_BABS01000216.1	1	3	1	2636	0.92	0.92	1	3	1	2636	NA	NA	0	1	3	1	2636	0.92	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	NZ_BABS01000216.1||full	0.92	ssDNA
NZ_BABS01000212.1	1	8	24	3100	0.947	0.947	1	8	24	3100	NA	NA	0	1	8	24	3100	0.947	0.0	0.0	0.0	12.5	0.0	87.5	0	dsDNAphage	linear	NZ_BABS01000212.1||full	0.947	dsDNAphage
NZ_BABS01000132.1	1	15	2	8485	0.94	0.94	1	15	2	8485	NA	NA	0	1	15	2	8485	0.94	0.0	26.7	0.0	33.3	0.0	40.0	2	dsDNAphage	linear	NZ_BABS01000132.1||full	0.94	dsDNAphage
NZ_BABS01000122.1	1	11	180	9647	0.987	0.987	1	11	180	9647	NA	NA	0	1	11	180	9647	0.987	0.0	0.0	0.0	63.6	9.1	27.3	5	dsDNAphage	linear	NZ_BABS01000122.1||full	0.987	dsDNAphage
NZ_BABS01000112.1	1	15	1	10616	0.993	0.993	1	15	1	10616	NA	NA	0	1	15	1	10616	0.993	0.0	6.7	0.0	60.0	0.0	33.3	6	dsDNAphage	linear	NZ_BABS01000112.1||full	0.993	dsDNAphage
NZ_BABS01000098.1	1	15	108	11562	0.993	0.993	1	15	108	11562	NA	NA	0	1	15	108	11562	0.993	0.0	6.7	0.0	46.7	0.0	46.7	1	dsDNAphage	circular	NZ_BABS01000098.1||full	0.993	dsDNAphage
NZ_BABS01000080.1	1	18	477	14089	1.0	1.0	1	18	477	14089	NA	NA	0	1	18	477	14089	1.0	0.0	0.0	0.0	72.2	0.0	27.8	6	dsDNAphage	linear	NZ_BABS01000080.1||full	1.0	dsDNAphage
NZ_BABS01000073.1	1	21	1	15080	0.987	1.0	1	21	1	15080	NA	NA	0	1	21	1	15080	0.987	0.0	0.0	0.0	42.9	4.8	52.4	2	dsDNAphage	linear	NZ_BABS01000073.1||full	0.987	dsDNAphage
NZ_BABS01000056.1	1	25	3	19770	0.98	0.993	1	25	3	19770	NA	NA	0	1	25	3	19770	0.98	0.0	12.0	0.0	60.0	12.0	16.0	7	dsDNAphage	linear	NZ_BABS01000056.1||full	0.98	dsDNAphage
