seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_DF968151.1	1	2	217	494	0.94	0.94	1	2	217	494	NA	NA	0	1	2	217	494	0.94	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_DF968151.1||full	0.94	ssDNA
NZ_DF968128.1	1	2	3	1066	1.0	1.0	1	2	3	1066	NA	NA	0	1	2	3	1066	1.0	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_DF968128.1||full	1.0	ssDNA
NZ_DF968127.1	1	2	55	1136	1.0	1.0	1	2	55	1136	NA	NA	0	1	2	55	1136	1.0	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_DF968127.1||full	1.0	ssDNA
NZ_DF968125.1	1	3	3	1244	0.953	0.953	1	3	3	1244	NA	NA	0	1	3	3	1244	0.953	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_DF968125.1||full	0.953	ssDNA
NZ_DF968124.1	1	3	2	1251	0.987	0.987	1	3	2	1251	NA	NA	0	1	3	2	1251	0.987	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_DF968124.1||full	0.987	ssDNA
NZ_DF968123.1	1	3	83	1253	0.753	0.753	1	3	83	1253	NA	NA	0	1	3	83	1253	0.753	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	NZ_DF968123.1||full	0.753	dsDNAphage
NZ_DF968122.1	1	3	83	1261	0.847	0.847	1	3	83	1261	NA	NA	0	1	3	83	1261	0.847	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	NZ_DF968122.1||full	0.847	dsDNAphage
NZ_DF968111.1	1	6	3	1759	0.767	0.767	1	6	3	1759	NA	NA	0	1	6	3	1759	0.767	0.0	0.0	0.0	16.7	0.0	83.3	0	dsDNAphage	linear	NZ_DF968111.1||full	0.767	dsDNAphage
NZ_DF968110.1	1	3	3	1837	0.813	0.813	1	3	3	1837	NA	NA	0	1	3	3	1837	0.813	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NZ_DF968110.1||full	0.813	ssDNA
NZ_DF968108.1	1	3	1	1943	0.567	0.567	1	3	1	1943	NA	NA	0	1	3	1	1943	0.567	0.0	33.3	0.0	66.7	0.0	0.0	0	dsDNAphage	linear	NZ_DF968108.1||full	0.567	dsDNAphage
NZ_DF968107.1	1	4	5	1784	0.96	0.96	1	4	5	1784	NA	NA	0	1	4	5	1784	0.96	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	circular	NZ_DF968107.1||full	0.96	ssDNA
NZ_DF968104.1	1	7	1	2760	0.973	0.973	1	7	1	2760	NA	NA	0	1	7	1	2760	0.973	0.0	0.0	0.0	14.3	0.0	85.7	0	dsDNAphage	linear	NZ_DF968104.1||full	0.973	dsDNAphage
NZ_DF968101.1	1	8	84	3559	0.56	0.56	1	8	84	3559	NA	NA	0	1	8	84	3559	0.56	0.0	0.0	0.0	25.0	25.0	50.0	0	dsDNAphage	linear	NZ_DF968101.1||full	0.56	dsDNAphage
NZ_DF968097.1	1	11	3	4419	0.913	0.913	1	11	3	4419	NA	NA	0	1	11	3	4419	0.913	0.0	0.0	0.0	36.4	0.0	63.6	0	dsDNAphage	linear	NZ_DF968097.1||full	0.913	dsDNAphage
NZ_DF968094.1	1	12	3	6802	0.753	0.753	1	12	3	6802	NA	NA	0	1	12	3	6802	0.753	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	NZ_DF968094.1||full	0.753	dsDNAphage
NZ_DF968090.1	1	28	93	21481	1.0	1.0	1	28	93	21481	NA	NA	0	1	28	93	21481	1.0	0.0	7.1	0.0	64.3	3.6	25.0	11	dsDNAphage	linear	NZ_DF968090.1||full	1.0	dsDNAphage
NZ_DF968088.1	1	33	163	25010	1.0	1.0	1	33	163	25010	NA	NA	0	1	33	163	25010	1.0	0.0	0.0	0.0	75.8	3.0	21.2	11	dsDNAphage	linear	NZ_DF968088.1||full	1.0	dsDNAphage
