seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_DF968107.1||full	0.787	0.960	0.960	ssDNA	1784	0	25.000	0.000
NZ_DF968088.1||full	1.000	0.127	1.000	dsDNAphage	24848	11	75.800	0.000
NZ_DF968090.1||full	1.000	0.007	1.000	dsDNAphage	21389	11	64.300	7.100
NZ_DF968094.1||full	0.753	0.433	0.753	dsDNAphage	6800	0	25.000	0.000
NZ_DF968097.1||full	0.913	0.607	0.913	dsDNAphage	4417	0	36.400	0.000
NZ_DF968101.1||full	0.560	0.107	0.560	dsDNAphage	3476	0	25.000	0.000
NZ_DF968104.1||full	0.973	0.893	0.973	dsDNAphage	2760	0	14.300	0.000
NZ_DF968108.1||full	0.567	0.060	0.567	dsDNAphage	1943	0	66.700	33.300
NZ_DF968110.1||full	0.560	0.813	0.813	ssDNA	1835	0	33.300	0.000
NZ_DF968111.1||full	0.767	0.480	0.767	dsDNAphage	1757	0	16.700	0.000
NZ_DF968122.1||full	0.847	0.460	0.847	dsDNAphage	1179	0	66.700	0.000
NZ_DF968123.1||full	0.753	0.500	0.753	dsDNAphage	1171	0	66.700	0.000
NZ_DF968124.1||full	0.807	0.987	0.987	ssDNA	1250	0	100.000	0.000
NZ_DF968125.1||full	0.893	0.953	0.953	ssDNA	1242	0	100.000	0.000
NZ_DF968127.1||full	0.667	1.000	1.000	ssDNA	1082	0	50.000	0.000
NZ_DF968128.1||full	0.667	1.000	1.000	ssDNA	1064	0	50.000	0.000
NZ_DF968151.1||full	0.700	0.940	0.940	ssDNA	278	0	50.000	0.000
