seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_JNGI01000184.1	1	131	2	132186	0.833	0.853	1	131	2	132186	NA	NA	0	1	131	2	132186	0.833	0.0	35.1	0.0	30.5	22.9	11.5	15	dsDNAphage	linear	NZ_JNGI01000184.1||full	0.833	dsDNAphage
NZ_JNGI01000133.1	1	34	3	24888	1.0	1.0	1	34	3	24888	NA	NA	0	1	34	3	24888	1.0	0.0	14.7	0.0	50.0	8.8	26.5	11	dsDNAphage	linear	NZ_JNGI01000133.1||full	1.0	dsDNAphage
NZ_JNGI01000107.1	1	5	2	3785	0.967	0.967	1	5	2	3785	NA	NA	0	1	5	2	3785	0.967	0.0	0.0	0.0	40.0	0.0	60.0	1	dsDNAphage	linear	NZ_JNGI01000107.1||full	0.967	dsDNAphage
NZ_JNGI01000098.1	1	4	142	2013	0.973	0.973	1	4	142	2013	NA	NA	0	1	4	142	2013	0.973	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_JNGI01000098.1||full	0.973	ssDNA
NZ_JNGI01000073.1	1	3	117	1425	0.973	0.973	1	3	117	1425	NA	NA	0	1	3	117	1425	0.973	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	NZ_JNGI01000073.1||full	0.973	ssDNA
NZ_JNGI01000071.1	1	13	3	10560	0.987	0.987	1	13	3	10560	NA	NA	0	1	13	3	10560	0.987	0.0	0.0	0.0	61.5	0.0	38.5	8	dsDNAphage	linear	NZ_JNGI01000071.1||full	0.987	dsDNAphage
NZ_JNGI01000056.1	1	10	2	6113	0.987	0.987	1	10	2	6113	NA	NA	0	1	10	2	6113	0.987	0.0	30.0	0.0	50.0	10.0	10.0	3	dsDNAphage	linear	NZ_JNGI01000056.1||full	0.987	dsDNAphage
NZ_JNGI01000041.1	1	19	3	9884	0.953	0.953	1	19	3	9884	NA	NA	0	1	19	3	9884	0.953	0.0	15.8	0.0	26.3	5.3	52.6	2	dsDNAphage	linear	NZ_JNGI01000041.1||full	0.953	dsDNAphage
NZ_JNGI01000035.1	1	66	2	45200	0.993	1.0	1	66	2	45200	NA	NA	0	1	66	2	45200	0.993	0.0	10.6	0.0	59.1	4.5	25.8	15	dsDNAphage	linear	NZ_JNGI01000035.1||full	0.993	dsDNAphage
NZ_JNGI01000032.1	1	28	41	22545	1.0	1.0	1	28	41	22545	NA	NA	0	1	28	41	22545	1.0	0.0	21.4	0.0	60.7	0.0	17.9	13	dsDNAphage	linear	NZ_JNGI01000032.1||full	1.0	dsDNAphage
NZ_JNGI01000007.1	1	38	1	32271	0.987	1.0	1	38	1	32271	NA	NA	0	1	38	1	32271	0.987	0.0	15.8	0.0	60.5	13.2	10.5	11	dsDNAphage	linear	NZ_JNGI01000007.1||full	0.987	dsDNAphage
NZ_JNGI01000178.1	106	141	118698	156876	0.973	0.973	106	141	118698	156876	0.973	0.973	1	1	141	91	156876	0.6	0.0	13.9	0.0	55.6	8.3	22.2	7	dsDNAphage	linear	NZ_JNGI01000178.1||0_partial	0.973	dsDNAphage
