seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_JNGI01000107.1||full	0.967	0.660	0.967	dsDNAphage	3784	1	40.000	0.000
NZ_JNGI01000133.1||full	1.000	0.007	1.000	dsDNAphage	24886	11	50.000	14.700
NZ_JNGI01000184.1||full	0.833	0.000	0.833	dsDNAphage	132185	15	30.500	35.100
NZ_JNGI01000032.1||full	1.000	0.020	1.000	dsDNAphage	22505	13	60.700	21.400
NZ_JNGI01000035.1||full	0.993	0.007	0.993	dsDNAphage	45199	15	59.100	10.600
NZ_JNGI01000041.1||full	0.953	0.007	0.953	dsDNAphage	9882	2	26.300	15.800
NZ_JNGI01000056.1||full	0.987	0.007	0.987	dsDNAphage	6112	3	50.000	30.000
NZ_JNGI01000007.1||full	0.987	0.020	0.987	dsDNAphage	32271	11	60.500	15.800
NZ_JNGI01000071.1||full	0.987	0.513	0.987	dsDNAphage	10558	8	61.500	0.000
NZ_JNGI01000073.1||full	0.933	0.973	0.973	ssDNA	1309	0	66.700	0.000
NZ_JNGI01000098.1||full	0.847	0.973	0.973	ssDNA	1872	0	50.000	0.000
NZ_JNGI01000178.1||0_partial	0.973	0.007	0.973	dsDNAphage	38179	7	55.600	13.900
NZ_JNGI01000116.1||lt2gene	nan	nan	nan	dsDNAphage	461	1	100.000	0.000
NZ_JNGI01000135.1||lt2gene	nan	nan	nan	dsDNAphage	872	1	50.000	0.000
NZ_JNGI01000169.1||lt2gene	nan	nan	nan	dsDNAphage	410	1	100.000	0.000
