seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AMRL01000024.1||full	0.947	0.000	0.947	dsDNAphage	60662	6	35.500	9.200
NZ_AMRL01000034.1||full	0.993	0.053	0.993	dsDNAphage	29125	8	65.000	2.500
NZ_AMRL01000054.1||full	0.680	0.033	0.680	dsDNAphage	2526	1	33.300	0.000
NZ_AMRL01000056.1||full	0.467	0.887	0.887	ssDNA	3030	0	50.000	0.000
NZ_AMRL01000060.1||full	0.920	0.380	0.920	dsDNAphage	1806	0	50.000	0.000
NZ_AMRL01000061.1||full	0.467	0.860	0.860	ssDNA	1663	0	50.000	0.000
NZ_AMRL01000002.1||0_partial	0.933	0.007	0.933	dsDNAphage	69443	6	31.300	23.200
NZ_AMRL01000011.1||0_partial	0.907	0.000	0.907	dsDNAphage	30651	5	23.900	37.000
NZ_AMRL01000019.1||0_partial	0.960	0.020	0.960	dsDNAphage	15188	3	70.600	5.900
NZ_AMRL01000020.1||0_partial	0.873	0.007	0.873	dsDNAphage	18627	8	38.700	32.300
