name	length	score	pvalue	qvalue
NZ_JH414596.1 Peptoanaerobacter stomatis strain CM5 supercont1.1, whole genome shotgun sequence	305744	0.051775150584868	0.447489691971865	0.0237092373442922
NZ_JH414597.1 Peptoanaerobacter stomatis strain CM5 supercont1.2, whole genome shotgun sequence	218996	0.0598171557208943	0.422022798932816	0.0237092373442922
NZ_JH414598.1 Peptoanaerobacter stomatis strain CM5 supercont1.3, whole genome shotgun sequence	213064	0.0362503276201117	0.510065486296386	0.0237092373442922
NZ_JH414599.1 Peptoanaerobacter stomatis strain CM5 supercont1.4, whole genome shotgun sequence	135563	0.0463989347404083	0.4653165170992	0.0237092373442922
NZ_JH414600.1 Peptoanaerobacter stomatis strain CM5 supercont1.5, whole genome shotgun sequence	132203	0.0387234930948616	0.495634246907592	0.0237092373442922
NZ_JH414601.1 Peptoanaerobacter stomatis strain CM5 supercont1.6, whole genome shotgun sequence	123906	0.0860948909028603	0.3619936939122	0.0237092373442922
NZ_JH414602.1 Peptoanaerobacter stomatis strain CM5 supercont1.7, whole genome shotgun sequence	105541	0.0526138419751039	0.444336648071792	0.0237092373442922
NZ_JH414603.1 Peptoanaerobacter stomatis strain CM5 supercont1.8, whole genome shotgun sequence	97664	0.0377504457882805	0.5	0.0237092373442922
NZ_JH414604.1 Peptoanaerobacter stomatis strain CM5 supercont1.9, whole genome shotgun sequence	94055	0.050447236216638	0.450764006791171	0.0237092373442922
NZ_JH414605.1 Peptoanaerobacter stomatis strain CM5 supercont1.10, whole genome shotgun sequence	92406	0.0672013973093873	0.400921658986175	0.0237092373442922
NZ_JH414606.1 Peptoanaerobacter stomatis strain CM5 supercont1.11, whole genome shotgun sequence	92004	0.081735640633757	0.371331554693185	0.0237092373442922
NZ_JH414607.1 Peptoanaerobacter stomatis strain CM5 supercont1.12, whole genome shotgun sequence	62891	0.0297342880034361	0.545719136551055	0.0237092373442922
NZ_JH414608.1 Peptoanaerobacter stomatis strain CM5 supercont1.13, whole genome shotgun sequence	54452	0.0314469363262249	0.535774921173902	0.0237092373442922
NZ_JH414609.1 Peptoanaerobacter stomatis strain CM5 supercont1.14, whole genome shotgun sequence	53759	0.0503696186295946	0.451006548629639	0.0237092373442922
NZ_JH414610.1 Peptoanaerobacter stomatis strain CM5 supercont1.15, whole genome shotgun sequence	53717	0.206102218837562	0.219379092893524	0.0237092373442922
NZ_JH414611.1 Peptoanaerobacter stomatis strain CM5 supercont1.16, whole genome shotgun sequence	50092	0.0166260173832442	0.64819306330342	0.0246040518548862
NZ_JH414612.1 Peptoanaerobacter stomatis strain CM5 supercont1.17, whole genome shotgun sequence	47150	0.0276669187241576	0.56051418869755	0.0237111784514432
NZ_JH414613.1 Peptoanaerobacter stomatis strain CM5 supercont1.18, whole genome shotgun sequence	43185	0.103930450842778	0.328644191122969	0.0237092373442922
NZ_JH414614.1 Peptoanaerobacter stomatis strain CM5 supercont1.19, whole genome shotgun sequence	42476	0.0757088670056242	0.384186272131943	0.0237092373442922
NZ_JH414615.1 Peptoanaerobacter stomatis strain CM5 supercont1.20, whole genome shotgun sequence	42468	0.0162834837725132	0.650497210768858	0.0246040518548862
NZ_JH414616.1 Peptoanaerobacter stomatis strain CM5 supercont1.21, whole genome shotgun sequence	37820	0.0209055551246747	0.60708222168324	0.0242985878827076
NZ_JH414617.1 Peptoanaerobacter stomatis strain CM5 supercont1.22, whole genome shotgun sequence	36364	0.0550944604115144	0.436696580160078	0.0237092373442922
NZ_JH414618.1 Peptoanaerobacter stomatis strain CM5 supercont1.23, whole genome shotgun sequence	34724	0.164154296084069	0.256730536017463	0.0237092373442922
NZ_JH414619.1 Peptoanaerobacter stomatis strain CM5 supercont1.24, whole genome shotgun sequence	31352	0.248672894539953	0.190395343196701	0.0237092373442922
NZ_JH414620.1 Peptoanaerobacter stomatis strain CM5 supercont1.25, whole genome shotgun sequence	29961	0.0321874182113202	0.532015522677662	0.0237092373442922
NZ_JH414621.1 Peptoanaerobacter stomatis strain CM5 supercont1.26, whole genome shotgun sequence	28972	0.101600222525627	0.332646131457676	0.0237092373442922
NZ_JH414622.1 Peptoanaerobacter stomatis strain CM5 supercont1.27, whole genome shotgun sequence	27489	0.05361046951616	0.441668687848654	0.0237092373442922
NZ_JH414623.1 Peptoanaerobacter stomatis strain CM5 supercont1.28, whole genome shotgun sequence	25605	0.0245428544398181	0.578462284744118	0.0241526308738478
NZ_JH414624.1 Peptoanaerobacter stomatis strain CM5 supercont1.29, whole genome shotgun sequence	18245	0.357440877577112	0.135095804026195	0.0237092373442922
NZ_JH414625.1 Peptoanaerobacter stomatis strain CM5 supercont1.30, whole genome shotgun sequence	15017	0.205752868051314	0.219742905651225	0.0237092373442922
NZ_JH414626.1 Peptoanaerobacter stomatis strain CM5 supercont1.31, whole genome shotgun sequence	14935	0.275769028105021	0.176449187484841	0.0237092373442922
NZ_JH414627.1 Peptoanaerobacter stomatis strain CM5 supercont1.32, whole genome shotgun sequence	13337	0.0505660213388295	0.450400194033471	0.0237092373442922
NZ_JH414628.1 Peptoanaerobacter stomatis strain CM5 supercont1.33, whole genome shotgun sequence	11224	0.0314857715283067	0.535774921173902	0.0237092373442922
NZ_JH414629.1 Peptoanaerobacter stomatis strain CM5 supercont1.34, whole genome shotgun sequence	11162	0.3082604857589	0.158137278680572	0.0237092373442922
NZ_JH414630.1 Peptoanaerobacter stomatis strain CM5 supercont1.35, whole genome shotgun sequence	10940	0.0700122714444008	0.395221925782197	0.0237092373442922
NZ_JH414631.1 Peptoanaerobacter stomatis strain CM5 supercont1.36, whole genome shotgun sequence	10864	0.231894637396783	0.199248120300752	0.0237092373442922
NZ_JH414632.1 Peptoanaerobacter stomatis strain CM5 supercont1.37, whole genome shotgun sequence	10121	0.054871297103202	0.437302934756245	0.0237092373442922
NZ_JH414633.1 Peptoanaerobacter stomatis strain CM5 supercont1.38, whole genome shotgun sequence	9246	0.112002427144692	0.316759641038079	0.0237092373442922
