seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_JH636454.1||full	0.960	0.007	0.960	dsDNAphage	104682	12	33.600	5.200
NZ_JH636458.1||full	0.833	0.000	0.833	dsDNAphage	36482	3	23.100	23.100
NZ_JH636461.1||full	0.967	0.180	0.967	dsDNAphage	12918	2	50.000	0.000
NZ_JH636464.1||full	0.953	0.067	0.953	dsDNAphage	5165	1	50.000	16.700
NZ_AIAB01000509.1||full	0.993	0.147	0.993	dsDNAphage	4162	1	12.500	0.000
NZ_AIAB01000516.1||full	0.987	0.660	0.987	dsDNAphage	2639	3	62.500	0.000
NZ_JH636439.1||0_partial	1.000	0.013	1.000	dsDNAphage	43906	12	47.900	4.200
NZ_JH636439.1||1_partial	0.940	0.000	0.940	dsDNAphage	51763	5	27.500	17.400
NZ_JH636439.1||2_partial	0.920	0.000	0.920	dsDNAphage	37793	6	25.000	11.500
NZ_JH636439.1||3_partial	0.873	0.000	0.873	dsDNAphage	12892	1	17.200	20.700
NZ_JH636441.1||0_partial	0.927	0.000	0.927	dsDNAphage	91167	13	29.500	13.700
NZ_JH636442.1||0_partial	0.953	0.007	0.953	dsDNAphage	111369	12	24.500	3.900
NZ_JH636444.1||0_partial	0.927	0.000	0.927	dsDNAphage	68717	3	22.800	7.600
NZ_JH636444.1||1_partial	0.900	0.013	0.900	dsDNAphage	33916	1	28.200	20.500
NZ_JH636446.1||0_partial	0.947	0.000	0.947	dsDNAphage	86471	13	31.000	14.000
NZ_JH636446.1||1_partial	0.960	0.013	0.960	dsDNAphage	66829	12	40.600	2.100
NZ_JH636448.1||0_partial	0.993	0.020	0.993	dsDNAphage	37210	9	32.800	5.200
NZ_AIAB01000570.1||lt2gene	nan	nan	nan	dsDNAphage	771	1	100.000	0.000
NZ_AIAB01000573.1||lt2gene	nan	nan	nan	dsDNAphage	692	1	100.000	0.000
