seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_APBX01000015.1||full	0.907	0.007	0.907	dsDNAphage	31226	10	47.200	18.900
NZ_APBX01000016.1||full	0.573	0.113	0.573	dsDNAphage	1697	0	20.000	0.000
NZ_APBX01000018.1||full	0.993	0.067	0.993	dsDNAphage	22782	15	77.400	9.700
NZ_APBX01000025.1||full	0.980	0.000	0.980	dsDNAphage	26019	13	55.300	23.700
NZ_APBX01000031.1||full	0.887	0.000	0.887	dsDNAphage	56340	6	31.900	34.800
NZ_APBX01000055.1||full	0.973	0.000	0.973	dsDNAphage	59295	15	43.500	18.800
NZ_APBX01000066.1||full	0.887	1.000	1.000	ssDNA	1248	0	66.700	0.000
NZ_APBX01000069.1||full	0.780	0.973	0.973	ssDNA	3371	0	40.000	0.000
NZ_APBX01000067.1||0_partial	0.907	0.000	0.907	dsDNAphage	26225	4	37.000	37.000
NZ_APBX01000014.1||lt2gene	nan	nan	nan	dsDNAphage	973	1	100.000	0.000
NZ_APBX01000048.1||lt2gene	nan	nan	nan	dsDNAphage	1793	1	100.000	0.000
NZ_APBX01000071.1||lt2gene	nan	nan	nan	dsDNAphage	1187	1	100.000	0.000
