seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_ABEA03000173.1||full	0.960	0.000	0.960	dsDNAphage	78703	5	30.900	11.100
NZ_ABEA03000161.1||full	0.893	0.000	0.893	dsDNAphage	90525	3	18.400	11.200
NZ_ABEA03000159.1||full	0.640	0.160	0.640	dsDNAphage	5508	0	60.000	0.000
NZ_ABEA03000148.1||full	0.660	0.960	0.960	ssDNA	860	0	50.000	0.000
NZ_ABEA03000142.1||full	0.653	0.520	0.653	dsDNAphage	590	0	50.000	0.000
NZ_ABEA03000120.1||full	0.907	0.000	0.907	dsDNAphage	84726	4	27.000	16.000
NZ_ABEA03000188.1||0_partial	0.993	0.007	0.993	dsDNAphage	26419	3	13.200	7.500
NZ_ABEA03000188.1||1_partial	0.947	0.000	0.947	dsDNAphage	23430	2	7.700	13.500
NZ_ABEA03000174.1||0_partial	0.960	0.007	0.960	dsDNAphage	26089	2	10.000	18.000
NZ_ABEA03000126.1||0_partial	0.913	0.000	0.913	dsDNAphage	110190	2	22.000	21.100
NZ_ABEA03000110.1||0_partial	0.967	0.000	0.967	dsDNAphage	25584	4	25.800	12.900
NZ_ABEA03000094.1||0_partial	0.947	0.000	0.947	dsDNAphage	35290	4	13.800	19.000
NZ_ABEA03000019.1||0_partial	0.900	0.000	0.900	dsDNAphage	56254	4	17.800	21.900
NZ_ABEA03000008.1||0_partial	0.973	0.013	0.973	dsDNAphage	25730	2	10.200	6.100
NZ_ABEA03000006.1||0_partial	0.933	0.000	0.933	dsDNAphage	28693	1	14.300	8.200
