seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_GG668175.1||full	0.820	0.980	0.980	ssDNA	1275	0	33.300	0.000
NZ_GG668159.1||full	0.967	1.000	1.000	ssDNA	848	0	66.700	0.000
NZ_GG668101.1||full	0.987	1.000	1.000	ssDNA	1240	0	100.000	0.000
NZ_GG668094.1||full	0.973	1.000	1.000	ssDNA	1013	0	66.700	0.000
NZ_GG668088.1||full	0.580	0.680	0.680	ssDNA	816	0	33.300	0.000
NZ_GG668085.1||full	1.000	0.973	1.000	dsDNAphage	1248	1	33.300	0.000
NZ_GG668071.1||full	0.647	0.993	0.993	ssDNA	1006	0	33.300	0.000
NZ_GG668051.1||full	0.987	1.000	1.000	ssDNA	1224	0	100.000	0.000
NZ_GG668047.1||full	0.900	0.987	0.987	ssDNA	1261	0	66.700	0.000
NZ_GG668041.1||full	0.800	0.987	0.987	ssDNA	1201	0	50.000	0.000
NZ_GG668031.1||full	0.980	1.000	1.000	ssDNA	1059	0	100.000	0.000
NZ_GG667990.1||full	0.393	0.967	0.967	ssDNA	1085	0	33.300	0.000
NZ_GG667976.1||full	0.993	1.000	1.000	ssDNA	1733	0	100.000	0.000
NZ_GG667938.1||full	0.953	0.840	0.953	dsDNAphage	3827	2	85.700	0.000
NZ_GG667906.1||full	0.640	0.173	0.640	dsDNAphage	3013	0	40.000	0.000
NZ_GG667883.1||full	0.947	0.040	0.947	dsDNAphage	3486	2	50.000	25.000
NZ_GG667880.1||full	0.893	0.727	0.893	dsDNAphage	3623	0	80.000	0.000
NZ_GG667857.1||full	1.000	0.973	1.000	dsDNAphage	3405	3	100.000	0.000
NZ_GG667840.1||full	0.907	0.567	0.907	dsDNAphage	6645	0	33.300	0.000
NZ_GG667770.1||full	1.000	0.593	1.000	dsDNAphage	6980	1	75.000	0.000
NZ_GG667751.1||full	1.000	0.693	1.000	dsDNAphage	10983	1	40.000	0.000
NZ_GG667737.1||full	0.513	0.000	0.513	dsDNAphage	18736	1	28.600	21.400
NZ_GG667733.1||full	0.780	0.133	0.780	dsDNAphage	15151	0	45.500	0.000
NZ_GG667732.1||full	0.967	0.027	0.967	dsDNAphage	17066	6	60.000	8.000
NZ_GG667708.1||full	0.967	0.207	0.967	dsDNAphage	27434	11	79.300	0.000
NZ_GG667672.1||full	0.993	0.060	0.993	dsDNAphage	18404	9	75.000	3.600
NZ_GG667668.1||full	0.960	0.133	0.960	dsDNAphage	29887	6	83.300	0.000
NZ_GG667666.1||full	0.967	0.013	0.967	dsDNAphage	22301	6	61.900	14.300
NZ_GG667638.1||full	0.620	0.000	0.620	dsDNAphage	57088	2	26.700	13.300
NZ_GG667635.1||full	0.927	0.047	0.927	dsDNAphage	34959	0	78.200	7.300
NZ_GG667662.1||0_partial	0.967	0.093	0.967	dsDNAphage	13006	1	27.800	50.000
NZ_GG667621.1||0_partial	0.893	0.007	0.893	dsDNAphage	23385	1	23.300	14.000
NZ_GG667615.1||0_partial	0.887	0.007	0.887	dsDNAphage	58260	1	38.500	23.100
NZ_GG667610.1||0_partial	0.987	0.040	0.987	dsDNAphage	20624	1	51.400	5.400
NZ_GG668315.1||lt2gene	nan	nan	nan	dsDNAphage	572	1	100.000	0.000
NZ_GG668311.1||lt2gene	nan	nan	nan	dsDNAphage	595	1	100.000	0.000
NZ_GG668168.1||lt2gene	nan	nan	nan	dsDNAphage	813	1	100.000	0.000
NZ_GG668137.1||lt2gene	nan	nan	nan	dsDNAphage	500	1	100.000	0.000
NZ_GG668093.1||lt2gene	nan	nan	nan	dsDNAphage	1308	1	100.000	0.000
NZ_GG668024.1||lt2gene	nan	nan	nan	dsDNAphage	1231	1	100.000	0.000
