seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_ALWB01000006.1||full	0.727	0.000	0.727	dsDNAphage	49260	6	29.200	25.000
NZ_ALWB01000036.1||full	0.787	0.007	0.787	dsDNAphage	27063	1	41.200	11.800
NZ_ALWB01000132.1||full	0.953	0.020	0.953	dsDNAphage	14635	1	38.500	15.400
NZ_ALWB01000295.1||full	0.613	0.440	0.613	dsDNAphage	5390	0	28.600	0.000
NZ_ALWB01000305.1||full	0.653	0.413	0.653	dsDNAphage	3428	0	66.700	0.000
NZ_ALWB01000310.1||full	0.907	0.873	0.907	dsDNAphage	4621	0	66.700	0.000
NZ_ALWB01000360.1||full	0.627	0.973	0.973	ssDNA	3345	0	50.000	0.000
NZ_ALWB01000364.1||full	0.333	0.960	0.960	ssDNA	2153	0	33.300	0.000
NZ_ALWB01000374.1||full	0.333	0.740	0.740	ssDNA	1199	0	50.000	0.000
NZ_ALWB01000411.1||full	0.373	0.980	0.980	ssDNA	1986	0	33.300	0.000
NZ_ALWB01000412.1||full	0.900	1.000	1.000	ssDNA	943	0	100.000	0.000
NZ_ALWB01000428.1||full	0.813	0.733	0.813	dsDNAphage	616	0	100.000	0.000
NZ_ALWB01000421.1||lt2gene	nan	nan	nan	dsDNAphage	1563	1	100.000	0.000
