seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AFPM01000323.1||full	0.980	0.013	0.980	dsDNAphage	47495	8	49.100	14.000
NZ_AFPM01000259.1||full	0.980	0.020	0.980	dsDNAphage	9498	1	50.000	12.500
NZ_AFPM01000248.1||full	0.987	0.160	0.987	dsDNAphage	6617	1	28.600	0.000
NZ_AFPM01000205.1||full	0.980	0.007	0.980	dsDNAphage	14124	4	38.500	7.700
NZ_AFPM01000196.1||full	0.880	0.000	0.880	dsDNAphage	19107	2	33.300	14.300
NZ_AFPM01000141.1||full	0.620	0.260	0.620	dsDNAphage	1522	0	33.300	0.000
NZ_AFPM01000048.1||full	0.587	0.000	0.587	dsDNAphage	48563	0	31.600	26.300
NZ_AFPM01000042.1||full	0.713	0.000	0.713	dsDNAphage	54170	3	34.100	39.000
NZ_AFPM01000039.1||full	0.847	0.000	0.847	dsDNAphage	27744	7	36.700	33.300
NZ_AFPM01000017.1||0_partial	0.947	0.000	0.947	dsDNAphage	77312	5	22.900	17.400
